dates;trafic
janv-11;245900
févr-11;238000
mars-11;263227
avr-11;277991
mai-11;286691
juin-11;303085
juil-11;256800
août-11;222012
sept-11;279870
oct-11;262482
nov-11;232680
déc-11;250491
janv-12;253207
févr-12;243067
mars-12;285105
avr-12;281615
mai-12;295914
juin-12;318227
juil-12;269288
août-12;220876
sept-12;292226
oct-12;282423
nov-12;259679
déc-12;269736
janv-13;297836
févr-13;298520
mars-13;321846
avr-13;315499
mai-13;320499
juin-13;353498
juil-13;297567
août-13;248162
sept-13;318171
oct-13;327165
nov-13;290611
déc-13;277998
janv-14;329673
févr-14;323638
mars-14;376079
avr-14;357470
mai-14;356857
juin-14;381665
juil-14;329881
août-14;285621
sept-14;346323
oct-14;349668
nov-14;312503
déc-14;339102
janv-15;344498
févr-15;344439
mars-15;386410
avr-15;362362
mai-15;343875
juin-15;401484
juil-15;352111
août-15;309220
sept-15;377684
oct-15;382437
nov-15;338143
déc-15;356961
janv-16;361309
févr-16;367323
mars-16;412595
avr-16;405576
mai-16;384740
juin-16;402523
juil-16;378002
août-16;322954
sept-16;403606
oct-16;414451
nov-16;363939
déc-16;395146
janv-17;399926
févr-17;394249
mars-17;442815
avr-17;427597
mai-17;421828
juin-17;458617
juil-17;405451
août-17;349186
sept-17;433709
oct-17;436849
nov-17;400391
déc-17;403614
janv-18;415292
févr-18;423665
mars-18;478207
avr-18;443548
mai-18;464162
juin-18;457944
juil-18;440436
août-18;366272
sept-18;457318
oct-18;460735
nov-18;413900
déc-18;426097
janv-19;443700
févr-19;441499
mars-19;480649
avr-19;463680
mai-19;453372
juin-19;505190
juil-19;445332
août-19;370211
